wavelength	amplitude
1257.0345225904575	0.00014001428571428572
1257.06756528009	0.00014084285714285714
1257.1006506550955	0.0001439142857142857
1257.1337786645004	0.00014809999999999997
1257.166949257338	0.00014978571428571428
1257.2001623826554	0.00014364285714285713
1257.2334179895101	0.0001481285714285714
1257.266716026968	0.00015594285714285716
1257.3000564441088	0.00015618571428571427
1257.3334391900212	0.00015144285714285716
1257.3668642138055	0.00015118571428571429
1257.4003314645718	0.0001587142857142857
1257.433840891442	0.0001573285714285714
1257.4673924435485	0.0001562285714285714
1257.5009860700336	0.00016457142857142858
1257.5346217200515	0.00016457142857142858
1257.5682993427665	0.000164
1257.6020188873538	0.00016707142857142856
1257.6357803029998	0.00016875714285714287
1257.6695835389012	0.00017042857142857143
1257.7034285442655	0.00016762857142857144
1257.7373152683108	0.00017295714285714287
1257.7712436602667	0.00017461428571428572
1257.8052136693725	0.0001740428571428571
1257.8392252448787	0.00017545714285714287
1257.8732783360472	0.00017572857142857142
1257.9073728921499	0.0001799142857142857
1257.9415088624698	0.00018467142857142856
1257.9756861963008	0.00018774285714285717
1258.0099048429468	0.00018605714285714286
1258.0441647517232	0.00018939999999999997
1258.078465871956	0.00019164285714285716
1258.112808152982	0.00019248571428571426
1258.1471915441487	0.0001896857142857143
1258.1816159948135	0.0001905142857142857
1258.2160814543467	0.00019108571428571428
1258.2505878721274	0.0001969285714285714
1258.2851351975467	0.00020195714285714284
1258.3197233800047	0.00020222857142857144
1258.3543523689145	0.0001983285714285714
1258.389022113699	0.0001983285714285714
1258.423732563791	0.00020112857142857144
1258.4584836686356	0.00020251428571428572
1258.4932753776875	0.00020588571428571423
1258.5281076404128	0.00021088571428571425
1258.562980406288	0.00020784285714285715
1258.5978936248002	0.00020808571428571431
1258.6328472454484	0.00021031428571428572
1258.6678412177405	0.0002136857142857143
1258.7028754911976	0.00021424285714285717
1258.7379500153488	0.00021592857142857142
1258.7730647397357	0.0002215142857142857
1258.8082196139108	0.0002217571428571429
1258.8434145874364	0.00022401428571428575
1258.878649609886	0.0002201
1258.913924630844	0.0002212142857142857
1258.9492395999055	0.00022485714285714288
1258.9845944666765	0.00022764285714285717
1259.0199891807727	0.00023375714285714285
1259.0554236918224	0.00023292857142857143
1259.0908979494634	0.00023070000000000005
1259.1264119033447	0.00023180000000000002
1259.1619655031254	0.00023208571428571427
1259.1975586984759	0.00023795714285714285
1259.2331914390786	0.00023907142857142858
1259.268863674624	0.00023878571428571425
1259.3045753548151	0.0002427
1259.3403264293656	0.0002444
1259.376116848	0.0002432857142857143
1259.4119465604526	0.00024160000000000002
1259.4478155164693	0.00024104285714285717
1259.483723665807	0.00024829999999999996
1259.5196709582328	0.00025302857142857143
1259.555657343524	0.0002538714285714286
1259.5916827714707	0.0002513714285714286
1259.6277471918715	0.0002499714285714286
1259.663850554537	0.0002547142857142857
1259.699992809288	0.00025638571428571427
1259.7361739059568	0.00025971428571428575
1259.7723937943856	0.00026082857142857146
1259.808652424428	0.0002613857142857143
1259.8449497459485	0.00026307142857142854
1259.8812857088212	0.0002639
1259.9176602629325	0.00026167142857142856
1259.954073358178	0.0002658571428571429
1259.9905249444653	0.00026892857142857144
1260.027014971713	0.0002728428571428571
1260.063543389849	0.00027564285714285717
1260.1001101488127	0.00027648571428571427
1260.1367151985546	0.0002722714285714286
1260.1733584890367	0.00027787142857142857
1260.2100399702288	0.00027842857142857145
1260.2467595921146	0.00028038571428571426
1260.2835173046874	0.0002829
1260.3203130579516	0.00028762857142857146
1260.3571468019204	0.0002845428571428571
1260.3940184866215	0.0002873428571428571
1260.4309280620896	0.0002868000000000001
1260.467875478373	0.00029181428571428567
1260.5048606855287	0.00028985714285714286
1260.5418836336255	0.0002909571428571429
1260.5789442727435	0.0002971142857142857
1260.6160425529715	0.0002993571428571428
1260.6531784244125	0.0002979571428571429
1260.6903518371762	0.00029487142857142855
1260.7275627413858	0.00029655714285714286
1260.7648110871746	0.0003032714285714286
1260.8020968246867	0.0003057714285714286
1260.8394199040767	0.00030940000000000004
1260.8767802755106	0.0003060571428571429
1260.9141778891633	0.00030607142857142855
1260.9516126952228	0.00031022857142857147
1260.9890846438868	0.0003105285714285714
1261.0265936853646	0.00031471428571428574
1261.064139769874	0.0003136000000000001
1261.101722847646	0.0003161
1261.1393428689214	0.0003152428571428571
1261.1769997839522	0.00032139999999999995
1261.214693543	0.0003213857142857143
1261.2524240963385	0.00032332857142857146
1261.2901913942512	0.00032391428571428574
1261.3279953870333	0.0003255857142857142
1261.3658360249892	0.0003314428571428571
1261.4037132584365	0.0003336714285714286
1261.4416270377008	0.0003295
1261.4795773131211	0.0003292142857142857
1261.5175640350453	0.00033230000000000005
1261.5555871538324	0.00033758571428571424
1261.593646619853	0.00033815714285714284
1261.6317423834869	0.00034121428571428573
1261.6698743951272	0.0003398285714285714
1261.7080426051746	0.0003425857142857143
1261.7462469640427	0.0003437
1261.7844874221562	0.0003459571428571428
1261.8227639299487	0.0003462142857142857
1261.8610764378661	0.0003495571428571428
1261.899424896364	0.0003512571428571429
1261.9378092559093	0.0003537714285714285
1261.9762294669808	0.000356
1262.0146854800653	0.00036100000000000005
1262.0531772456634	0.0003562857142857143
1262.091704714284	0.0003551571428571429
1262.1302678364482	0.00036577142857142865
1262.1688665626875	0.00036772857142857145
1262.207500843544	0.00036857142857142855
